Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
31104;Mairie de Rosny-sous-Bois;OUI;30;16;14;5;9;OUI;OUI;2023-11-05T20:41:57+01:00;Rosny-sous-Bois
16107;Benjamin Godard - Victor Hugo;OUI;35;32;3;1;2;OUI;OUI;2023-11-05T20:34:11+01:00;Paris
44015;Rouget de L'isle - Watteau;OUI;20;4;16;3;13;OUI;OUI;2023-11-05T20:43:10+01:00;Vitry-sur-Seine
14014;Jourdan - Stade Charléty;OUI;60;27;28;22;6;OUI;OUI;2023-11-05T20:43:29+01:00;Paris
9020;Toudouze - Clauzel;OUI;21;19;2;0;2;OUI;OUI;2023-11-05T20:42:14+01:00;Paris
8026;Messine - Place Du Pérou;OUI;12;6;5;2;3;OUI;OUI;2023-11-05T20:42:13+01:00;Paris
12109;Mairie du 12ème;OUI;30;13;17;14;3;OUI;OUI;2023-11-05T20:43:23+01:00;Paris
13007;Le Brun - Gobelins;OUI;48;34;12;4;8;OUI;OUI;2023-11-05T20:42:54+01:00;Paris
14111;Cassini - Denfert-Rochereau;OUI;25;22;3;2;1;OUI;OUI;2023-11-05T20:40:20+01:00;Paris
6003;Saint-Sulpice;OUI;21;13;8;5;3;OUI;OUI;2023-11-05T20:40:35+01:00;Paris
32017;Basilique;OUI;22;2;18;9;9;OUI;OUI;2023-11-05T20:40:51+01:00;Saint-Denis
5110;Lacépède - Monge;OUI;23;19;2;2;0;OUI;OUI;2023-11-05T20:37:50+01:00;Paris
11104;Charonne - Robert et Sonia Delaunay;OUI;20;12;7;4;3;OUI;OUI;2023-11-05T20:41:17+01:00;Paris
6108;Saint-Romain - Cherche-Midi;OUI;17;12;4;2;2;OUI;OUI;2023-11-05T20:37:52+01:00;Paris
7002;Vaneau - Sèvres;OUI;35;9;11;7;4;OUI;OUI;2023-11-05T20:43:16+01:00;Paris
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;13;11;2;9;OUI;OUI;2023-11-05T20:42:04+01:00;Ivry-sur-Seine
33006;André Karman - République;OUI;31;17;14;6;8;OUI;OUI;2023-11-05T20:41:49+01:00;Aubervilliers
6021;Beaux-Arts - Bonaparte;OUI;20;9;10;8;2;OUI;OUI;2023-11-05T20:42:17+01:00;Paris
41301;Bois de Vincennes - Gare;OUI;50;27;22;19;3;OUI;OUI;2023-11-05T20:43:38+01:00;Nogent-sur-Marne
15202;Bracion - Périphérique;OUI;30;20;10;6;4;OUI;OUI;2023-11-05T20:38:53+01:00;Paris
21010;Silly - Galliéni;OUI;25;9;15;9;6;OUI;OUI;2023-11-05T20:41:07+01:00;Boulogne-Billancourt
